epoch,train_loss,train_data,train_axiom,valid_loss,valid_data,valid_axiom,sat_score
23,189.02337985568576,189.02337985568576,0.003837711281246609,182.7168197631836,182.7168197631836,0.0033948620160420737,0.9966051379839579
24,184.79094950358072,184.79094950358072,0.002933429347144233,185.11993153889975,185.11993153889975,0.0034931103388468423,0.9965068896611532
25,182.07955932617188,182.07955932617188,0.003343257639143202,175.1871566772461,175.1871566772461,0.0024183193842569986,0.997581680615743
26,173.7688276502821,173.7688276502821,0.0021454162067837184,178.00262705485025,178.00262705485025,0.0016855994860331218,0.9983144005139669
27,165.6957948472765,165.6957948472765,0.0019516216384039985,177.06533559163412,177.06533559163412,0.0019341707229614258,0.9980658292770386
28,151.6711688571506,151.6711688571506,0.002320196893480089,178.775026957194,178.775026957194,0.001947621504465739,0.9980523784955343
29,163.6507110595703,163.6507110595703,0.00189641449186537,182.0791041056315,182.0791041056315,0.0023569067319234214,0.9976430932680765
30,149.16266886393228,149.16266886393228,0.0016539361741807726,179.7468287150065,179.7468287150065,0.0025979280471801758,0.9974020719528198
31,158.67709689670139,158.67709689670139,0.002218524614969889,189.8307088216146,189.8307088216146,0.0027885238329569497,0.9972114761670431
32,149.40742831759982,149.40742831759982,0.0020109878646002877,183.48167928059897,183.48167928059897,0.001564641793568929,0.998435358206431
33,138.24122958713107,138.24122958713107,0.001312639978196886,184.30851236979166,184.30851236979166,0.001296540101369222,0.9987034598986307
34,136.26913113064236,136.26913113064236,0.0016289883189731175,193.02328491210938,193.02328491210938,0.0024326841036478677,0.9975673158963522
35,146.33395724826389,146.33395724826389,0.0012979308764139812,194.7765350341797,194.7765350341797,0.0012038946151733398,0.9987961053848267
36,135.31043412950305,135.31043412950305,0.001012159718407525,205.80783081054688,205.80783081054688,0.00200347105662028,0.9979965289433798
37,141.53152635362414,141.53152635362414,0.0014532672034369574,197.20067342122397,197.20067342122397,0.001346588134765625,0.9986534118652344
38,123.5142093234592,123.5142093234592,0.0007327662573920356,187.41034444173178,187.41034444173178,0.001744667689005534,0.9982553323109945
39,120.04310438368056,120.04310438368056,0.0017602377467685277,174.80247497558594,174.80247497558594,0.003087639808654785,0.9969123601913452
40,122.30445183648004,122.30445183648004,0.002292156219482422,176.67291768391928,176.67291768391928,0.0010300874710083008,0.9989699125289917
41,123.75318908691406,123.75318908691406,0.0016520288255479601,169.94967142740884,169.94967142740884,0.0005977749824523926,0.9994022250175476
42,117.2691421508789,117.2691421508789,0.0027444296412997777,184.35496520996094,184.35496520996094,0.0037331382433573404,0.9962668617566427
43,109.9967778523763,109.9967778523763,0.002124872472551134,178.10802205403647,178.10802205403647,0.00397576888402303,0.9960242311159769
44,111.99741109212239,111.99741109212239,0.0029909941885206434,160.21234130859375,160.21234130859375,0.004164397716522217,0.9958356022834778
45,108.82656606038411,108.82656606038411,0.004214141103956435,163.83234659830728,163.83234659830728,0.0025425354639689126,0.9974574645360311
46,98.97989866468642,98.97989866468642,0.004284487830268012,169.30020141601562,169.30020141601562,0.0048057834307352705,0.9951942165692648
47,106.11685095893012,106.11685095893012,0.0070151885350545245,158.4308319091797,158.4308319091797,0.012528300285339355,0.9874716997146606
48,98.03249613444011,98.03249613444011,0.007865031560262045,144.77449798583984,144.77449798583984,0.013416727383931478,0.9865832726160685
49,101.98985163370769,101.98985163370769,0.011029097768995497,145.18411000569662,145.18411000569662,0.0180245041847229,0.9819754958152771
50,94.21888775295682,94.21888775295682,0.00980475213792589,133.7608184814453,133.7608184814453,0.020331044991811115,0.9796689550081888
51,87.08897569444444,87.08897569444444,0.007819215456644693,131.36129252115884,131.36129252115884,0.023221909999847412,0.9767780900001526
